"Window","Previous Perspective","Ctrl+Shift+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Editor Commands","Show Outline","Ctrl+O","Specfile Editor Context","rpmEditor.showOutline.command"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text","org.eclipse.linuxtools.changelog.core.prepareCommit"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected","org.eclipse.terminal.command1"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.source.header"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected","org.eclipse.terminal.command1"
"Edit","Restore Last Selection","Alt+Shift+↓","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.last"
"Source","Open Element","Ctrl+Shift+T","C/C++ Editor","org.eclipse.cdt.ui.navigate.opentype"
"Tracing","Zoom in (mouse position)","W","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomin"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Run/Debug","Debug","F11","In Windows","org.eclipse.debug.ui.commands.DebugLast"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.sort.lines"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToPreviousUnread"
"Changelog","Format ChangeLog","Esc, Ctrl+F","ChangeLog Editor","org.eclipse.linuxtools.changelog.core.formatChangeLog"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected","org.eclipse.terminal.command1"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.goto.matching.bracket"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor","org.eclipse.cdt.ui.edit.open.include.browser"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected","org.eclipse.terminal.command1"
